,id,request_date_time,station_name,mode,train_uid,origin_name,operator_name,platform,destination_name,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time
37,37,2024-11-05T22:03:27+00:00,London Waterloo,train,L59446,London Waterloo,South Western Railway,7,Woking,23:20,23:20,76,Unknonwn
38,38,2024-11-05T22:03:27+00:00,London Waterloo,train,L57738,London Waterloo,South Western Railway,18,Woking,23:22,23:22,78,Unknonwn
39,39,2024-11-05T22:03:27+00:00,London Waterloo,train,Y00141,London Waterloo,South Western Railway,14,Alton,23:23,23:23,79,Unknonwn
40,40,2024-11-05T22:03:27+00:00,London Waterloo,train,L60545,London Waterloo,South Western Railway,4,Twickenham,23:27,23:27,83,Unknonwn
41,41,2024-11-05T22:03:27+00:00,London Waterloo,train,L61366,London Waterloo,South Western Railway,23,Kingston,23:30,23:30,86,Unknonwn
42,42,2024-11-05T22:03:27+00:00,London Waterloo,train,L61589,London Waterloo,South Western Railway,10,Fratton,23:32,23:32,88,Unknonwn
43,43,2024-11-05T22:03:27+00:00,London Waterloo,train,L62304,London Waterloo,South Western Railway,19,Windsor & Eton Riverside,23:33,23:33,89,Unknonwn
44,44,2024-11-05T22:03:27+00:00,London Waterloo,train,L58428,London Waterloo,South Western Railway,13,Southampton Central,23:35,23:35,91,Unknonwn
45,45,2024-11-05T22:03:27+00:00,London Waterloo,train,L60438,London Waterloo,South Western Railway,1,Hampton Court,23:36,23:36,92,Unknonwn
46,46,2024-11-05T22:03:27+00:00,London Waterloo,train,L57350,London Waterloo,South Western Railway,9,Salisbury,23:40,23:40,96,Unknonwn
47,47,2024-11-05T22:03:27+00:00,London Waterloo,train,L59014,London Waterloo,South Western Railway,15,Guildford,23:42,23:42,98,Unknonwn
48,48,2024-11-05T22:03:27+00:00,London Waterloo,train,L60858,London Waterloo,South Western Railway,14,Basingstoke,23:48,23:48,104,Unknonwn
49,49,2024-11-05T22:03:27+00:00,London Waterloo,train,L59825,London Waterloo,South Western Railway,5,Guildford,23:50,23:50,106,Unknonwn
